audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\OK,12.wav,ricevuto,ricevuto
\voice\acknowledge\OK,13.wav,capito,capito
\voice\acknowledge\OK,14.wav,"ok, tutto chiaro","ok, tutto chiaro"
\voice\acknowledge\OK,15.wav,perfetto,perfetto
\voice\acknowledge\OK,16.wav,"sì sì, ho capito","sì sì, ho capito"
\voice\acknowledge\OK,17.wav,va bene,va bene
\voice\acknowledge\OK,18.wav,"ok, ci siamo","ok, ci siamo"
\voice\acknowledge\didnt_understand,20.wav,"scusa, non ho capito","scusa, non ho capito"
\voice\acknowledge\didnt_understand,21.wav,"ripeti, per favore","ripeti, per favore"
\voice\acknowledge\didnt_understand,22.wav,come hai detto?,come hai detto?
\voice\lap_counter\laps_to_go,20.wav,"dai che manca poco, tieni duro","dai che manca poco, tieni duro"
\voice\lap_counter\laps_to_go,21.wav,"forza, resta concentrato","forza, resta concentrato"
\voice\lap_counter\laps_to_go,22.wav,"ci siamo quasi, non mollare","ci siamo quasi, non mollare"
\voice\lap_counter\laps_to_go,23.wav,"ultimo sforzo, dai!","ultimo sforzo, dai!"
\voice\lap_counter\laps_to_go,24.wav,"spingi, che ce la facciamo","spingi, che ce la facciamo"
\voice\lap_counter\laps_to_go,25.wav,"bravissimo, continua così","bravissimo, continua così"
\voice\lap_counter\laps_to_go,26.wav,"ottimo ritmo, mantienilo","ottimo ritmo, mantienilo"
\voice\lap_counter\laps_to_go,27.wav,"giro velocissimo, grande!","giro velocissimo, grande!"
\voice\fuel\fuel_warning,20.wav,"occhio alla benzina, gestisci bene","occhio alla benzina, gestisci bene"
\voice\fuel\fuel_warning,21.wav,"alza il piede nei rettilinei, risparmia carburante","alza il piede nei rettilinei, risparmia carburante"
\voice\fuel\fuel_warning,22.wav,"siamo giusti con la benzina, non sprecare","siamo giusti con la benzina, non sprecare"
\voice\fuel\fuel_warning,23.wav,"benzina contata, vai in modalità risparmio","benzina contata, vai in modalità risparmio"
\voice\fuel\fuel_warning,24.wav,"devi risparmiare, siamo al limite col carburante","devi risparmiare, siamo al limite col carburante"
\voice\fuel\fuel_good,1.wav,"benzina ok, nessun problema","benzina ok, nessun problema"
\voice\fuel\fuel_good,2.wav,"siamo a posto col carburante, vai tranquillo","siamo a posto col carburante, vai tranquillo"
\voice\fuel\fuel_good,3.wav,"carburante sufficiente, puoi spingere","carburante sufficiente, puoi spingere"
\voice\conditions\track_wet,1.wav,"sta piovendo, attenzione in frenata","sta piovendo, attenzione in frenata"
\voice\conditions\track_wet,2.wav,"pista bagnata, fai attenzione alle curve","pista bagnata, fai attenzione alle curve"
\voice\conditions\track_wet,3.wav,"pioggia in arrivo, preparati","pioggia in arrivo, preparati"
\voice\conditions\track_dry,1.wav,"la pista si sta asciugando, bene","la pista si sta asciugando, bene"
\voice\conditions\track_dry,2.wav,"condizioni in miglioramento, la pista asciuga","condizioni in miglioramento, la pista asciuga"
\voice\conditions\track_temp,1.wav,"temperatura pista alta, attenzione alle gomme","temperatura pista alta, attenzione alle gomme"
\voice\conditions\track_temp,2.wav,"pista fredda, ci vuole un po' per scaldare le gomme","pista fredda, ci vuole un po' per scaldare le gomme"
\voice\position\position_update,1.wav,"ottima posizione, difendila","ottima posizione, difendila"
\voice\position\position_update,2.wav,"quello davanti rallenta, puoi prenderlo","quello davanti rallenta, puoi prenderlo"
\voice\position\position_update,3.wav,"sei in lotta, non perdere la concentrazione","sei in lotta, non perdere la concentrazione"
\voice\position\position_update,4.wav,"posizione guadagnata, bravo!","posizione guadagnata, bravo!"
\voice\position\position_update,5.wav,"tieni la posizione, quello dietro si avvicina","tieni la posizione, quello dietro si avvicina"
\voice\position\position_update,6.wav,"grande rimonta, continua così","grande rimonta, continua così"
\voice\position\position_update,7.wav,"stai perdendo terreno, spingi di più","stai perdendo terreno, spingi di più"
