audio_path,audio_filename,english_text,text_for_tts
acknowledge/breath_in,1.wav,,
acknowledge/breath_in,2.wav,,
acknowledge/breath_in,3.wav,,
acknowledge/breath_in,4.wav,,
acknowledge/breath_in,5.wav,,
acknowledge/breath_in,6.wav,,
acknowledge/breath_in,7.wav,,
acknowledge/breath_in,8.wav,,
corners/a1,1.wav,,
corners/advanced,1.wav,,
corners/advanced_petroleum_corner,1.wav,,
corners/allard,1.wav,,
corners/andretti_hairpin,1.wav,,
corners/andretti_straight,1.wav,,
corners/arquibancadas,1.wav,,
corners/arrabbiata_1,1.wav,,
corners/arrabbiata_2,1.wav,,
corners/big_red,1.wav,,
corners/biondetti_1,1.wav,,
corners/biondetti_2,1.wav,,
corners/bm,1.wav,,
corners/bogen,1.wav,,
corners/borgo_san_lorenzo,1.wav,,
corners/boxes,1.wav,,
corners/bucine,1.wav,,
corners/campbell,1.wav,,
corners/carraciola_karussell,1.wav,,
corners/casanova,1.wav,,
corners/casino_straight,1.wav,,
corners/castrol_s,1.wav,,
corners/catalunya,1.wav,,
corners/champion_curve,1.wav,,
corners/church,1.wav,,
corners/cobb,1.wav,,
corners/conrod_straight,1.wav,,
corners/corner,1.wav,,
corners/correntaio,1.wav,,
corners/corvette_curves,1.wav,,
corners/curva_do_sol,1.wav,,
corners/daytona_chicane,1.wav,,
corners/dos,1.wav,,
corners/double_gauche,1.wav,,
corners/einfahrt,1.wav,,
corners/einfahrt_parabolika,1.wav,,
corners/esses,1.wav,,
corners/europcar,1.wav,,
corners/farm_curve,1.wav,,
corners/firmans,1.wav,,
corners/flying_fortress,1.wav,,
corners/ford_chicane,1.wav,,
corners/fosters_dip,1.wav,,
corners/frog_hollow,1.wav,,
corners/gauche1,1.wav,,
corners/gauche2,1.wav,,
corners/goodwood,1.wav,,
corners/gosser,1.wav,,
corners/hamilton_straight,1.wav,,
corners/hangar_straight,1.wav,,
corners/hoheichen,1.wav,,
corners/hohenrain_schikane,1.wav,,
corners/honda,1.wav,,
corners/honda_corner,3.wav,,
corners/hurry_downs,1.wav,,
corners/kemmel_straight,1.wav,,
corners/kettle_bottoms,1.wav,,
corners/kitome,1.wav,,
corners/kitome_corner,4.wav,,
corners/kumho_kurve,1.wav,,
corners/laranjinha,1.wav,,
corners/lauda_links,1.wav,,
corners/la_caixa,1.wav,,
corners/luco,1.wav,,
corners/maggotts,1.wav,,
corners/main_straight,1.wav,,
corners/maison_blanche,1.wav,,
corners/man,1.wav,,
corners/metzgesfeld1,1.wav,,
corners/metzgesfeld2,1.wav,,
corners/mobile_1_kurve,1.wav,,
corners/momo,1.wav,,
corners/moraine_sweep,1.wav,,
corners/motorsport,1.wav,,
corners/mountain_straight,1.wav,,
corners/mulsanne_kink,1.wav,,
corners/mulsanne_straight,1.wav,,
corners/nascar1,1.wav,,
corners/nascar2,1.wav,,
corners/nascar3,1.wav,,
corners/nascar4,1.wav,,
corners/nascar_chicane,1.wav,,
corners/national_pits_straight,1.wav,,
corners/news,1.wav,,
corners/niki_lauda,1.wav,,
corners/nissan,1.wav,,
corners/nissan_corner,5.wav,,
corners/noble,1.wav,,
corners/nordkurve,1.wav,,
corners/northern,1.wav,,
corners/northern_bm_corner,6.wav,,
corners/no_name,1.wav,,
corners/no_name_straight,1.wav,,
corners/obrien_aluminium_dogleg,1.wav,,
corners/over,1.wav,,
corners/palagio,1.wav,,
corners/parabolika,1.wav,,
corners/paul_frere,1.wav,,
corners/penrite,1.wav,,
corners/penrite_corner,7.wav,,
corners/petroleum,1.wav,,
corners/pit_straight,1.wav,,
corners/poggio_seco,1.wav,,
corners/power_horse,1.wav,,
corners/priory,1.wav,,
corners/quarry_corner,1.wav,,
corners/racc,1.wav,,
corners/rahal_straight,1.wav,,
corners/recaro,1.wav,,
corners/reid_park,1.wav,,
corners/remus,1.wav,,
corners/repsol,1.wav,,
corners/road_america_straight,1.wav,,
corners/roberts,8.wav,,
corners/roll,1.wav,,
corners/roll_over_corner,9.wav,,
corners/sabine_schmitz_kurve,1.wav,Sabine-Schmitz-Kurve,
corners/sachs_kurve,1.wav,,
corners/san_donato,1.wav,,
corners/savelli,1.wav,,
corners/scarperia,1.wav,,
corners/segrave,1.wav,,
corners/senna_curve,1.wav,,
corners/shell_corner,1.wav,,
corners/speakers_corner,1.wav,,
corners/speed_corner,1.wav,,
corners/stavelot,1.wav,,
corners/subida,1.wav,,
corners/sudkurve,1.wav,,
corners/sulman_park,1.wav,,
corners/t13,1.wav,,
corners/tertre_rouge,1.wav,,
corners/the_backstraight,1.wav,,
corners/the_bend,1.wav,,
corners/the_chute,1.wav,,
corners/the_dogleg,1.wav,,
corners/the_downhill,1.wav,,
corners/the_left_hander,1.wav,,
corners/the_le_mans_chicane,1.wav,,
