audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\OK,1.wav,ok,ok
\voice\acknowledge\OK,10.wav,ricevuto,ricevuto
\voice\acknowledge\OK,11.wav,ricevuto,ricevuto
\voice\acknowledge\OK,2.wav,capito,capito
\voice\acknowledge\OK,3.wav,ricevuto,ricevuto
\voice\acknowledge\OK,4.wav,ricevuto,ricevuto
\voice\acknowledge\OK,5.wav,ricevuto,ricevuto
\voice\acknowledge\OK,6.wav,ricevuto,ricevuto
\voice\acknowledge\OK,7.wav,ricevuto,ricevuto
\voice\acknowledge\OK,8.wav,ricevuto,ricevuto
\voice\acknowledge\OK,9.wav,ricevuto,ricevuto
\voice\acknowledge\cut_warnings_disabled,1.wav,ok niente piu' avvisi taglio pista,ok niente piu' avvisi taglio pista
\voice\acknowledge\cut_warnings_disabled,2.wav,capito niente avvisi taglio pista,capito niente avvisi taglio pista
\voice\acknowledge\cut_warnings_disabled,3.wav,ok niente piu' avvisi taglio pista,ok niente piu' avvisi taglio pista
\voice\acknowledge\cut_warnings_enabled,1.wav,ok ti avvisero' sui tagli pista,ok ti avvisero' sui tagli pista
\voice\acknowledge\cut_warnings_enabled,2.wav,capito ti avvisero' sui limiti pista,capito ti avvisero' sui limiti pista
\voice\acknowledge\cut_warnings_enabled,3.wav,ok ti daro' avvisi sui tagli,ok ti daro' avvisi sui tagli
\voice\acknowledge\deltasDisabled,1.wav,ricevuto niente piu' distacchi,ricevuto niente piu' distacchi
\voice\acknowledge\deltasDisabled,2.wav,ricevuto niente piu' delta,ricevuto niente piu' delta
\voice\acknowledge\deltasDisabled,3.wav,ok niente piu' delta,ok niente piu' delta
\voice\acknowledge\deltasEnabled,1.wav,ok ti diro' i distacchi,ok ti diro' i distacchi
\voice\acknowledge\deltasEnabled,2.wav,ok ti diro' i distacchi,ok ti diro' i distacchi
\voice\acknowledge\deltasEnabled,3.wav,ok ti leggero' i distacchi,ok ti leggero' i distacchi
\voice\acknowledge\deltasEnabled,4.wav,ricevuto delta ogni giro,ricevuto delta ogni giro
\voice\acknowledge\didnt_understand,1.wav,non ho capito,non ho capito
\voice\acknowledge\didnt_understand,10.wav,parla piu' chiaramente non ti sento,parla piu' chiaramente non ti sento
\voice\acknowledge\didnt_understand,11.wav,non ho capito,non ho capito
\voice\acknowledge\didnt_understand,12.wav,scusa,scusa
\voice\acknowledge\didnt_understand,13.wav,scusa non ho capito,scusa non ho capito
\voice\acknowledge\didnt_understand,14.wav,no non ti sento,no non ti sento
\voice\acknowledge\didnt_understand,2.wav,ripeti per favore,ripeti per favore
\voice\acknowledge\didnt_understand,3.wav,non ho capito,non ho capito
\voice\acknowledge\didnt_understand,4.wav,ripeti,ripeti
\voice\acknowledge\didnt_understand,5.wav,ripeti per favore,ripeti per favore
\voice\acknowledge\didnt_understand,6.wav,non ho capito,non ho capito
\voice\acknowledge\didnt_understand,7.wav,si interrompe la comunicazione,si interrompe la comunicazione
\voice\acknowledge\didnt_understand,8.wav,si interrompe ripeti per favore,si interrompe ripeti per favore
\voice\acknowledge\didnt_understand,9.wav,non ti sento,non ti sento
\voice\acknowledge\fill_the_tank,1.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio
\voice\acknowledge\fill_the_tank,2.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio
\voice\acknowledge\fill_the_tank,3.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio
\voice\acknowledge\fill_the_tank,4.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio
\voice\acknowledge\fuel_to_end,1.wav,ok ti mettiamo carburante per finire,ok ti mettiamo carburante per finire
\voice\acknowledge\fuel_to_end,2_op_prefix_ok.wav,ti mettiamo benzina per finire,ti mettiamo benzina per finire
\voice\acknowledge\fuel_to_end,3_op_prefix_ok.wav,ti riempiamo per finire la gara,ti riempiamo per finire la gara
\voice\acknowledge\fuel_to_end,4_op_prefix_ok.wav,ti mettiamo carburante per finire la gara,ti mettiamo carburante per finire la gara
\voice\acknowledge\fuel_to_end,5_op_prefix_ok.wav,ti mettiamo carburante per finire la gara,ti mettiamo carburante per finire la gara
\voice\acknowledge\keepQuietDisabled,1.wav,ok ti terro' aggiornato,ok ti terro' aggiornato
\voice\acknowledge\keepQuietDisabled,2.wav,capito ti terro' informato,capito ti terro' informato
\voice\acknowledge\keepQuietDisabled,3.wav,ricevuto ti aggiornero',ricevuto ti aggiornero'
\voice\acknowledge\keepQuietEnabled,1.wav,ok niente piu' aggiornamenti,ok niente piu' aggiornamenti
\voice\acknowledge\keepQuietEnabled,2.wav,ok sto zitto,ok sto zitto
\voice\acknowledge\keepQuietEnabled,3.wav,ok ti lascio guidare,ok ti lascio guidare
\voice\acknowledge\keep_quiet_in_corners_disabled,1.wav,ricevuto comunicazioni in qualsiasi punto del giro,ricevuto comunicazioni in qualsiasi punto del giro
\voice\acknowledge\keep_quiet_in_corners_disabled,2.wav,ricevuto comunichero' in qualsiasi momento,ricevuto comunichero' in qualsiasi momento
\voice\acknowledge\keep_quiet_in_corners_disabled,3.wav,capito comunichero' in ogni punto del giro,capito comunichero' in ogni punto del giro
\voice\acknowledge\keep_quiet_in_corners_disabled,4.wav,ricevuto chiamate in ogni punto del giro,ricevuto chiamate in ogni punto del giro
\voice\acknowledge\keep_quiet_in_corners_enabled,1.wav,capito staro' zitto in curva,capito staro' zitto in curva
\voice\acknowledge\keep_quiet_in_corners_enabled,2.wav,ricevuto niente chiamate in curva,ricevuto niente chiamate in curva
\voice\acknowledge\keep_quiet_in_corners_enabled,3.wav,ok cerchero' di non parlare nelle zone di frenata,ok cerchero' di non parlare nelle zone di frenata
\voice\acknowledge\keep_quiet_in_corners_enabled,4.wav,ok parlero' solo nei rettilinei,ok parlero' solo nei rettilinei
\voice\acknowledge\no,1.wav,no,no
\voice\acknowledge\no,2.wav,no,no
\voice\acknowledge\no,3.wav,no,no
\voice\acknowledge\no,4.wav,no,no
\voice\acknowledge\no_data,1.wav,non abbiamo quel dato,non abbiamo quel dato
\voice\acknowledge\no_data,2.wav,non abbiamo quel dato,non abbiamo quel dato
\voice\acknowledge\no_data,3.wav,non abbiamo abbastanza dati,non abbiamo abbastanza dati
\voice\acknowledge\no_data,4.wav,non abbiamo quel dato,non abbiamo quel dato
\voice\acknowledge\no_data,5.wav,non abbiamo il dato,non abbiamo il dato
\voice\acknowledge\no_more_data,1.wav,non abbiamo altri dati,non abbiamo altri dati
\voice\acknowledge\no_more_data,2.wav,non abbiamo altre informazioni,non abbiamo altre informazioni
\voice\acknowledge\no_more_data,3.wav,non abbiamo altri dati,non abbiamo altri dati
\voice\acknowledge\pit_strategy_1,23.wav,strategia pit uno selezionata,strategia pit uno selezionata
\voice\acknowledge\pit_strategy_2,24.wav,strategia pit due selezionata,strategia pit due selezionata
\voice\acknowledge\pit_strategy_3,25.wav,strategia pit tre selezionata,strategia pit tre selezionata
\voice\acknowledge\pit_strategy_4,26.wav,strategia pit quattro selezionata,strategia pit quattro selezionata
\voice\acknowledge\radio_check,1_op_prefix_ok.wav,si' ti sento,si' ti sento
\voice\acknowledge\radio_check,2_op_prefix_ok.wav,ti sento,ti sento
\voice\acknowledge\radio_check,3.wav,si' ti ricevo,si' ti ricevo
\voice\acknowledge\spotterDisabled,1.wav,ok niente piu' chiamate spotter,ok niente piu' chiamate spotter
\voice\acknowledge\spotterDisabled,2.wav,ok niente spotter,ok niente spotter
\voice\acknowledge\spotterDisabled,3.wav,ok niente chiamate spotter,ok niente chiamate spotter
\voice\acknowledge\spotterEnabled,1.wav,capito ti daro' le chiamate,capito ti daro' le chiamate
\voice\acknowledge\spotterEnabled,2.wav,ok faro' da spotter,ok faro' da spotter
\voice\acknowledge\spotterEnabled,3.wav,capito ti daro' le chiamate,capito ti daro' le chiamate
\voice\acknowledge\stand_by,1.wav,ok attendi,ok attendi
\voice\acknowledge\stand_by,2.wav,attendi,attendi
\voice\acknowledge\stand_by,3.wav,un momento,un momento
\voice\acknowledge\stand_by,4.wav,aspetta,aspetta
\voice\acknowledge\stand_by,5.wav,attendi,attendi
\voice\acknowledge\stand_by,6.wav,attendi,attendi
\voice\acknowledge\stand_by,7.wav,attendi,attendi
\voice\acknowledge\stand_by,8.wav,un momento,un momento
\voice\acknowledge\yellowDisabled,1.wav,ok niente piu' aggiornamenti incidenti,ok niente piu' aggiornamenti incidenti
\voice\acknowledge\yellowDisabled,2.wav,ok niente piu' bandiere gialle,ok niente piu' bandiere gialle
\voice\acknowledge\yellowDisabled,3.wav,ok niente piu' report gialle,ok niente piu' report gialle
\voice\acknowledge\yellowEnabled,4.wav,ricevuto ti comunichero' le gialle,ricevuto ti comunichero' le gialle
\voice\acknowledge\yellowEnabled,5.wav,ok ti daro' i report bandiere gialle,ok ti daro' i report bandiere gialle
\voice\acknowledge\yellowEnabled,6.wav,ok ti daro' i report sugli incidenti,ok ti daro' i report sugli incidenti
\voice\acknowledge\yes,1.wav,si',si'
\voice\acknowledge\yes,2.wav,si',si'
\voice\acknowledge\yes,3.wav,si',si'
\voice\acknowledge\yes,4.wav,si',si'
\voice\acknowledge\yes,5.wav,si',si'
\voice\alarm_clock\alarms,1.wav,SVEGLIA,SVEGLIA
\voice\alarm_clock\am,1.wav,di mattina,di mattina
\voice\alarm_clock\am,2.wav,di mattina,di mattina
\voice\alarm_clock\am,3.wav,di mattina,di mattina
\voice\alarm_clock\notify,1.wav,ti avviseremo alle,ti avviseremo alle
\voice\alarm_clock\notify,2.wav,ok ti avviseremo alle,ok ti avviseremo alle
\voice\alarm_clock\notify,3.wav,va bene ti avviseremo alle,va bene ti avviseremo alle
\voice\alarm_clock\notify,4.wav,ricevuto sarai avvisato alle,ricevuto sarai avvisato alle
\voice\alarm_clock\notify,5.wav,ok ti avviseremo alle,ok ti avviseremo alle
\voice\alarm_clock\notify,6.wav,ti avviseremo alle,ti avviseremo alle
\voice\alarm_clock\pm,4.wav,di pomeriggio,di pomeriggio
\voice\alarm_clock\pm,5.wav,di pomeriggio,di pomeriggio
\voice\alarm_clock\pm,6.wav,di pomeriggio,di pomeriggio
\voice\battery\about_to_run_out,1.wav,la batteria sta per finire,la batteria sta per finire
\voice\battery\about_to_run_out,2.wav,la batteria e' quasi scarica sta per finire,la batteria e' quasi scarica sta per finire
\voice\battery\about_to_run_out,3.wav,la batteria e' praticamente finita,la batteria e' praticamente finita
\voice\battery\battery_use_increasing,1.wav,il consumo batteria sta aumentando,il consumo batteria sta aumentando
\voice\battery\battery_use_increasing,2.wav,il consumo energia sta aumentando,il consumo energia sta aumentando
\voice\battery\battery_use_increasing,3.wav,il consumo batteria sta aumentando,il consumo batteria sta aumentando
\voice\battery\battery_use_reducing,1.wav,il consumo batteria sta calando,il consumo batteria sta calando
\voice\battery\battery_use_reducing,2.wav,il consumo batteria si sta riducendo,il consumo batteria si sta riducendo
\voice\battery\battery_use_reducing,3.wav,il consumo energia si sta riducendo,il consumo energia si sta riducendo
\voice\battery\battery_use_stable,1.wav,il consumo batteria e' stabile,il consumo batteria e' stabile
\voice\battery\battery_use_stable,2.wav,il consumo batteria e' stabile,il consumo batteria e' stabile
\voice\battery\battery_use_stable,3.wav,il consumo batteria si e' stabilizzato,il consumo batteria si e' stabilizzato
\voice\battery\critical_battery,1.wav,la batteria e' quasi vuota,la batteria e' quasi vuota
\voice\battery\critical_battery,2.wav,la batteria e' davvero bassa,la batteria e' davvero bassa
\voice\battery\critical_battery,3.wav,il livello batteria e' molto basso,il livello batteria e' molto basso
\voice\battery\critical_battery,4.wav,livello batteria critico siamo molto bassi di energia,livello batteria critico siamo molto bassi di energia
\voice\battery\current_charge_should_make_end,1.wav,dovresti arrivare alla fine con questa carica,dovresti arrivare alla fine con questa carica
\voice\battery\current_charge_should_make_end,2.wav,la carica attuale dovrebbe bastare fino alla fine della gara,la carica attuale dovrebbe bastare fino alla fine della gara
\voice\battery\current_charge_should_make_end,3.wav,pensiamo che arriverai alla fine con la carica attuale,pensiamo che arriverai alla fine con la carica attuale
\voice\battery\current_charge_should_make_half_distance,1.wav,dovresti arrivare a meta' gara con la carica attuale,dovresti arrivare a meta' gara con la carica attuale
\voice\battery\current_charge_should_make_half_distance,2.wav,dovresti arrivare a meta' gara con questa carica,dovresti arrivare a meta' gara con questa carica
\voice\battery\current_charge_should_make_half_distance,3.wav,la carica attuale dovrebbe bastarti fino a meta' gara,la carica attuale dovrebbe bastarti fino a meta' gara
\voice\battery\five_minutes_battery,1.wav,ci sono circa cinque minuti di batteria rimasti,ci sono circa cinque minuti di batteria rimasti
\voice\battery\five_minutes_battery,2.wav,abbiamo circa cinque minuti di batteria,abbiamo circa cinque minuti di batteria
\voice\battery\five_minutes_battery,3.wav,la batteria durera' ancora circa cinque minuti,la batteria durera' ancora circa cinque minuti
\voice\battery\four_laps_battery,1.wav,abbiamo quattro giri di batteria rimasti,abbiamo quattro giri di batteria rimasti
\voice\battery\four_laps_battery,2.wav,ci sono circa quattro giri di batteria,ci sono circa quattro giri di batteria
\voice\battery\four_laps_battery,3.wav,la batteria durera' ancora circa quattro giri,la batteria durera' ancora circa quattro giri
\voice\battery\half_charge_warning,1.wav,abbiamo meta' carica batteria rimasta,abbiamo meta' carica batteria rimasta
\voice\battery\half_charge_warning,2.wav,la batteria e' a meta' potenza,la batteria e' a meta' potenza
\voice\battery\half_charge_warning,3.wav,abbiamo meta' della potenza batteria rimasta,abbiamo meta' della potenza batteria rimasta
\voice\battery\half_distance_good_battery,1.wav,meta' gara la batteria e' ok arriviamo alla fine,meta' gara la batteria e' ok arriviamo alla fine
\voice\battery\half_distance_good_battery,2.wav,meta' gara la potenza batteria sembra ok,meta' gara la potenza batteria sembra ok
\voice\battery\half_distance_good_battery,3.wav,meta' gara la batteria va bene pensiamo di arrivare alla fine,meta' gara la batteria va bene pensiamo di arrivare alla fine
