audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\acknowledge\OK,1.wav,ok,ok,okay
\voice\acknowledge\OK,10.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,11.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,2.wav,capito,capito,understood
\voice\acknowledge\OK,3.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,4.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,5.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,6.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,7.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,8.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\OK,9.wav,ricevuto,ricevuto,acknowledged
\voice\acknowledge\cut_warnings_disabled,1.wav,ok niente piu' avvisi taglio pista,ok niente piu' avvisi taglio pista,"okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,2.wav,capito niente avvisi taglio pista,capito niente avvisi taglio pista,"understood, no cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,3.wav,ok niente piu' avvisi taglio pista,ok niente piu' avvisi taglio pista,"okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,1.wav,ok ti avvisero' sui tagli pista,ok ti avvisero' sui tagli pista,"okay, we'll give cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,2.wav,capito ti avvisero' sui limiti pista,capito ti avvisero' sui limiti pista,"understood, we'll warn about track limits"
\voice\acknowledge\cut_warnings_enabled,3.wav,ok ti daro' avvisi sui tagli,ok ti daro' avvisi sui tagli,"okay, I'll give cut warnings"
\voice\acknowledge\deltasDisabled,1.wav,ricevuto niente piu' distacchi,ricevuto niente piu' distacchi,"copy that, no more time deltas"
\voice\acknowledge\deltasDisabled,2.wav,ricevuto niente piu' delta,ricevuto niente piu' delta,"acknowledged, no more deltas"
\voice\acknowledge\deltasDisabled,3.wav,ok niente piu' delta,ok niente piu' delta,"okay, no more deltas"
\voice\acknowledge\deltasEnabled,1.wav,ok ti diro' i distacchi,ok ti diro' i distacchi,"okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,2.wav,ok ti diro' i distacchi,ok ti diro' i distacchi,"okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,3.wav,ok ti leggero' i distacchi,ok ti leggero' i distacchi,"okay, I'll read out those gaps"
\voice\acknowledge\deltasEnabled,4.wav,ricevuto delta ogni giro,ricevuto delta ogni giro,"acknowledged, time deltas every lap"
\voice\acknowledge\didnt_understand,1.wav,non ho capito,non ho capito,I didn't catch that
\voice\acknowledge\didnt_understand,10.wav,parla piu' chiaramente non ti sento,parla piu' chiaramente non ti sento,"speak more clearly, I can't hear you"
\voice\acknowledge\didnt_understand,11.wav,non ho capito,non ho capito,I didn't catch that
\voice\acknowledge\didnt_understand,12.wav,scusa,scusa,pardon
\voice\acknowledge\didnt_understand,13.wav,scusa non ho capito,scusa non ho capito,"sorry, mate, I didn't catch that"
\voice\acknowledge\didnt_understand,14.wav,no non ti sento,no non ti sento,"ah, no, I just can't hear you"
\voice\acknowledge\didnt_understand,2.wav,ripeti per favore,ripeti per favore,"repeat, please"
\voice\acknowledge\didnt_understand,3.wav,non ho capito,non ho capito,didn't understand that
\voice\acknowledge\didnt_understand,4.wav,ripeti,ripeti,say again
\voice\acknowledge\didnt_understand,5.wav,ripeti per favore,ripeti per favore,"repeat, please"
\voice\acknowledge\didnt_understand,6.wav,non ho capito,non ho capito,I didn't catch that
\voice\acknowledge\didnt_understand,7.wav,si interrompe la comunicazione,si interrompe la comunicazione,now you're breaking up
\voice\acknowledge\didnt_understand,8.wav,si interrompe ripeti per favore,si interrompe ripeti per favore,"you're breaking up, say again please"
\voice\acknowledge\didnt_understand,9.wav,non ti sento,non ti sento,"can't hear you, mate"
\voice\acknowledge\fill_the_tank,1.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,2.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,3.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,4.wav,ok riempiamo il serbatoio,ok riempiamo il serbatoio,"OK, we'll fill the tank"
\voice\acknowledge\fuel_to_end,1.wav,ok ti mettiamo carburante per finire,ok ti mettiamo carburante per finire,"ok, we'll fill you to the end"
\voice\acknowledge\fuel_to_end,2_op_prefix_ok.wav,ti mettiamo benzina per finire,ti mettiamo benzina per finire,we'll fuel you to the end
\voice\acknowledge\fuel_to_end,3_op_prefix_ok.wav,ti riempiamo per finire la gara,ti riempiamo per finire la gara,we'll fill you to the end of the race
\voice\acknowledge\fuel_to_end,4_op_prefix_ok.wav,ti mettiamo carburante per finire la gara,ti mettiamo carburante per finire la gara,we'll fuel you to the end of the race
\voice\acknowledge\fuel_to_end,5_op_prefix_ok.wav,ti mettiamo carburante per finire la gara,ti mettiamo carburante per finire la gara,we'll fuel you to the end of the race
\voice\acknowledge\keepQuietDisabled,1.wav,ok ti terro' aggiornato,ok ti terro' aggiornato,"okay, we'll keep you posted"
\voice\acknowledge\keepQuietDisabled,2.wav,capito ti terro' informato,capito ti terro' informato,"understood, I'll keep you informed"
