audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\spotterDisabled,1.wav,ok niente piu' chiamate spotter,ok niente piu' chiamate spotter
\voice\acknowledge\spotterDisabled,2.wav,ricevuto spotter disattivato,ricevuto spotter disattivato
\voice\acknowledge\spotterEnabled,1.wav,capito ti daro' le chiamate,capito ti daro' le chiamate
\voice\acknowledge\spotterEnabled,2.wav,ok faro' da spotter,ok faro' da spotter
\voice\acknowledge\spotterEnabled,3.wav,ricevuto spotter attivato,ricevuto spotter attivato
\voice\damage_reporting\damage,1.wav,abbiamo dei danni,abbiamo dei danni
\voice\damage_reporting\damage,2.wav,la macchina ha dei danni,la macchina ha dei danni
\voice\damage_reporting\damage,3.wav,abbiamo preso un colpo ci sono danni,abbiamo preso un colpo ci sono danni
\voice\damage_reporting\damage,4.wav,la macchina e' danneggiata,la macchina e' danneggiata
\voice\damage_reporting\severe_engine_damage,1.wav,il motore e' messo male cerca di andare piano,il motore e' messo male cerca di andare piano
\voice\damage_reporting\severe_engine_damage,2.wav,il motore sta cedendo vai piano,il motore sta cedendo vai piano
\voice\damage_reporting\wheel_damage,1.wav,hai un danno alla ruota,hai un danno alla ruota
\voice\damage_reporting\wheel_damage,2.wav,una ruota e' danneggiata,una ruota e' danneggiata
\voice\damage_reporting\wheel_damage,3.wav,c'e' un problema con una ruota,c'e' un problema con una ruota
\voice\flags\virtual_safety_car,1.wav,virtual safety car stai attento,virtual safety car stai attento
\voice\flags\virtual_safety_car,2.wav,virtual safety car attiva rallenta,virtual safety car attiva rallenta
\voice\flags\virtual_safety_car,3.wav,VSC attiva rispetta il limite di velocita',VSC attiva rispetta il limite di velocita'
\voice\flags\virtual_safety_car_phase_over,1.wav,virtual safety car finita via libera,virtual safety car finita via libera
\voice\flags\virtual_safety_car_phase_over,2.wav,VSC finita si riparte,VSC finita si riparte
\voice\flags\virtual_safety_car_phase_over,3.wav,fine della virtual safety car andiamo,fine della virtual safety car andiamo
\voice\flags\virtual_safety_car_speed,1.wav,resta sotto la velocita' della virtual safety car,resta sotto la velocita' della virtual safety car
\voice\flags\virtual_safety_car_speed,2.wav,attenzione al limite VSC,attenzione al limite VSC
\voice\flags\stay_below_vsc_speed,1.wav,resta sotto la velocita' VSC,resta sotto la velocita' VSC
\voice\flags\stay_below_vsc_speed,2.wav,rallenta sei sopra il limite VSC,rallenta sei sopra il limite VSC
\voice\fuel\not_enough_laps_for_average,1.wav,non abbiamo abbastanza giri per calcolare la media carburante,non abbiamo abbastanza giri per calcolare la media carburante
