audio_path,audio_filename,subtitle,text_for_tts
\voice\lmu\class_info,1.wav,"Hypercar davanti a te, fai attenzione","Hypercar davanti a te, fai attenzione"
\voice\lmu\class_info,2.wav,"LMDh in arrivo da dietro, lascia spazio","elleemmedieacca in arrivo da dietro, lascia spazio"
\voice\lmu\class_info,3.wav,"LMP2 davanti, ti sta per sdoppiare","elleemmepidue davanti, ti sta per sdoppiare"
\voice\lmu\class_info,4.wav,"LMGT3 più lenta davanti, preparati a doppiare","elleemmegitiTre più lenta davanti, preparati a doppiare"
\voice\lmu\class_info,5.wav,"traffico di GT davanti, attenzione al doppiaggio","traffico di giTi davanti, attenzione al doppiaggio"
\voice\lmu\class_info,6.wav,"Hypercar in avvicinamento, lascia passare","Hypercar in avvicinamento, lascia passare"
\voice\lmu\class_info,7.wav,"gruppo di LMP2 davanti, cerca spazio pulito","gruppo di elleemmepidue davanti, cerca spazio pulito"
\voice\lmu\class_info,8.wav,"macchina di un'altra classe in lotta, stai attento","macchina di un'altra classe in lotta, stai attento"
\voice\lmu\endurance,1.wav,"gestisci le gomme, lo stint è lungo","gestisci le gomme, lo stint è lungo"
\voice\lmu\endurance,2.wav,prossimo cambio pilota tra due giri,prossimo cambio pilota tra due giri
\voice\lmu\endurance,3.wav,"preparati al pit stop, cambio gomme e rifornimento","preparati al pit stop, cambio gomme e rifornimento"
\voice\lmu\endurance,4.wav,"stint lungo, conserva le gomme posteriori","stint lungo, conserva le gomme posteriori"
\voice\lmu\endurance,5.wav,"siamo a metà stint, le gomme reggono bene","siamo a metà stint, le gomme reggono bene"
\voice\lmu\endurance,6.wav,"finestra di pit stop aperta, rientri al prossimo giro","finestra di pit stop aperta, rientri al prossimo giro"
\voice\lmu\endurance,7.wav,"cambio pilota completato, stint pulito davanti a noi","cambio pilota completato, stint pulito davanti a noi"
\voice\lmu\endurance,8.wav,"dobbiamo fare un doppio stint con queste gomme, gestiscile","dobbiamo fare un doppio stint con queste gomme, gestiscile"
