audio_path,audio_filename,subtitle,text_for_tts
\voice\lap_counter\finished_race,1_op_suffix_bad_luck.wav,"ok, e' over","ok, e' over"
\voice\lap_counter\finished_race,2.wav,ecco la bandiera a scacchi,ecco la bandiera a scacchi
\voice\lap_counter\finished_race,3_op_suffix_bad_luck.wav,"it, siamo done","it, siamo done"
\voice\lap_counter\finished_race,4.wav,"e' la fine della gara, li prenderemo la prossima volta","e' la fine della gara, li prenderemo la prossima volta"
\voice\lap_counter\finished_race,5.wav,ecco e' finita riporta la macchina,ecco e' finita riporta la macchina
\voice\lap_counter\finished_race,6.wav,"ok, siamo done","ok, siamo done"
\voice\lap_counter\finished_race,7.wav,"e' la fine della gara, non importa","e' la fine della gara, non importa"
\voice\lap_counter\finished_race,8.wav,"e' la fine della gara, sfortuna","e' la fine della gara, sfortuna"
\voice\lap_counter\finished_race_good_finish,1.wav,"ok, è finita, ben fatto, buon risultato","ok, è finita, ben fatto, buon risultato"
\voice\lap_counter\finished_race_good_finish,2.wav,"ok, è il traguardo, ben fatto","ok, è il traguardo, ben fatto"
\voice\lap_counter\finished_race_good_finish,3.wav,"ok, e' over, bella guida","ok, e' over, bella guida"
\voice\lap_counter\finished_race_good_finish,4.wav,"ben fatto, buon risultato","ben fatto, buon risultato"
\voice\lap_counter\finished_race_good_finish,5.wav,"ecco il traguardo, bella guida","ecco il traguardo, bella guida"
\voice\lap_counter\finished_race_good_finish,6.wav,"ed ecco il traguardo, buon risultato, ben fatto","ed ecco il traguardo, buon risultato, ben fatto"
\voice\lap_counter\finished_race_good_finish,7.wav,ecco il traguardo bravo,ecco il traguardo bravo
\voice\lap_counter\finished_race_good_finish,8.wav,"ok è la fine, buon risultato, ben fatto","ok è la fine, buon risultato, ben fatto"
\voice\lap_counter\finished_race_last,1.wav,ecco la bandiera a scacchi deludente,ecco la bandiera a scacchi deludente
\voice\lap_counter\finished_race_last,2.wav,"ok, e' over, bloody awful result","ok, e' over, bloody awful result"
\voice\lap_counter\finished_race_last,3.wav,"ok, e' finita, andiamo via e cerchiamo di dimenticare questa","ok, e' finita, andiamo via e cerchiamo di dimenticare questa"
\voice\lap_counter\finished_race_last,sweary_4.wav,"c'e' la bandiera a scacchi, giornata di merda, raccogliamo e andiamo a casa","c'e' la bandiera a scacchi, giornata di merda, raccogliamo e andiamo a casa"
\voice\lap_counter\finished_race_last,sweary_5.wav,"shit result, , hard luck","shit result, , hard luck"
\voice\lap_counter\finished_race_last,sweary_6.wav,e' stata una cazzo di perdita di tempo,e' stata una cazzo di perdita di tempo
\voice\lap_counter\get_ready,10.wav,"ok, preparati","ok, preparati"
\voice\lap_counter\get_ready,11.wav,"preparati, è il momento di spingere","preparati, è il momento di spingere"
\voice\lap_counter\get_ready,12_op_prefix_ok.wav,preparati guarda i semafori,preparati guarda i semafori
\voice\lap_counter\get_ready,13.wav,guarda i semafori,guarda i semafori
\voice\lap_counter\get_ready,14.wav,preparati e stai pulito,preparati e stai pulito
\voice\lap_counter\get_ready,16_op_prefix_ok.wav,pulito e preciso stai fuori dai guai,pulito e preciso stai fuori dai guai
\voice\lap_counter\get_ready,1_op_prefix_ok.wav,preparati,preparati
\voice\lap_counter\get_ready,20.wav,preparati,preparati
\voice\lap_counter\get_ready,21.wav,preparati e' ora di concentrarsi,preparati e' ora di concentrarsi
\voice\lap_counter\get_ready,22.wav,"ok, preparati","ok, preparati"
\voice\lap_counter\get_ready,24.wav,ci siamo preparati,ci siamo preparati
\voice\lap_counter\get_ready,25.wav,ci siamo preparati,ci siamo preparati
\voice\lap_counter\get_ready,26.wav,preparati,preparati
