audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\didnt_understand,15.wav,non ho capito,non ho capito
\voice\acknowledge\didnt_understand,16.wav,scusa ripeti,scusa ripeti
\voice\acknowledge\didnt_understand,17.wav,non ho sentito bene,non ho sentito bene
\voice\acknowledge\didnt_understand,18.wav,puoi ripetere,puoi ripetere
\voice\acknowledge\didnt_understand,19.wav,ripeti per favore,ripeti per favore
\voice\acknowledge\didnt_understand,20.wav,non ti ho capito,non ti ho capito
\voice\acknowledge\didnt_understand,21.wav,scusa non ho sentito,scusa non ho sentito
\voice\acknowledge\didnt_understand,22.wav,cosa hai detto,cosa hai detto
\voice\acknowledge\didnt_understand,23.wav,non era chiaro ripeti,non era chiaro ripeti
\voice\acknowledge\didnt_understand,24.wav,ridimmi tutto,ridimmi tutto
\voice\acknowledge\didnt_understand,25.wav,non ho capito niente,non ho capito niente
\voice\acknowledge\didnt_understand,26.wav,ripeti non ti sentivo,ripeti non ti sentivo
\voice\damage_reporting\busted_transmission,sweary_3.wav,cambio distrutto maledizione,cambio distrutto maledizione
\voice\damage_reporting\damage,5.wav,hai dei danni,hai dei danni
\voice\damage_reporting\damage,6.wav,ci sono danni alla vettura,ci sono danni alla vettura
\voice\damage_reporting\damage,7.wav,la macchina ha dei danni,la macchina ha dei danni
\voice\damage_reporting\damage,8.wav,abbiamo preso dei danni,abbiamo preso dei danni
\voice\damage_reporting\severe_aero_damage,4.wav,danni aerodinamici gravi,danni aerodinamici gravi
\voice\damage_reporting\wheel_damage,1.wav,ruota danneggiata,ruota danneggiata
\voice\damage_reporting\wheel_damage,2.wav,abbiamo un danno alla ruota,abbiamo un danno alla ruota
\voice\damage_reporting\wheel_damage,3.wav,problema a una ruota,problema a una ruota
\voice\engine_monitor\all_clear,4.wav,motore tutto ok,motore tutto ok
\voice\flags\stay_below_vsc_speed,3.wav,resta sotto il limite vi esse ci,resta sotto il limite vi esse ci
\voice\flags\stay_below_vsc_speed,4.wav,non superare la velocita' vi esse ci,non superare la velocita' vi esse ci
\voice\flags\virtual_safety_car,4.wav,vi esse ci attiva,vi esse ci attiva
\voice\flags\virtual_safety_car_phase_over,4.wav,vi esse ci terminata,vi esse ci terminata
\voice\flags\virtual_safety_car_phase_over,5.wav,fase vi esse ci conclusa,fase vi esse ci conclusa
\voice\flags\virtual_safety_car_speed,3.wav,rispetta il limite vi esse ci,rispetta il limite vi esse ci
\voice\flags\virtual_safety_car_speed,4.wav,mantieni la velocita' vi esse ci,mantieni la velocita' vi esse ci
\voice\flags\virtual_safety_car_speed,5.wav,attenzione al limite vi esse ci,attenzione al limite vi esse ci
\voice\fuel\about_to_run_out,4.wav,benzina quasi finita!,benzina quasi finita!
\voice\fuel\about_to_run_out,5.wav,stiamo finendo la benzina!,stiamo finendo la benzina!
\voice\fuel\about_to_run_out,6.wav,carburante quasi a zero!,carburante quasi a zero!
\voice\fuel\about_to_run_out,7.wav,benzina agli sgoccioli!,benzina agli sgoccioli!
\voice\fuel\about_to_run_out,8.wav,siamo a secco tra poco!,siamo a secco tra poco!
\voice\fuel\fuel_will_be_tight,5.wav,benzina contata,benzina contata
\voice\fuel\fuel_will_be_tight,6.wav,carburante risicato,carburante risicato
\voice\fuel\fuel_will_be_tight,7.wav,benzina al limite,benzina al limite
\voice\fuel\fuel_will_be_tight,8.wav,saremo giusti di benzina,saremo giusti di benzina
\voice\fuel\not_enough_laps_for_average,3.wav,non abbastanza giri per la media,non abbastanza giri per la media
\voice\lap_counter\finished_race,5.wav,gara finita,gara finita
\voice\lap_counter\finished_race,6.wav,bandiera a scacchi,bandiera a scacchi
\voice\lap_counter\finished_race,7.wav,abbiamo finito la gara,abbiamo finito la gara
\voice\lap_counter\finished_race,8.wav,traguardo tagliato,traguardo tagliato
\voice\lap_counter\finished_race,9.wav,gara conclusa,gara conclusa
\voice\lap_counter\finished_race,10.wav,siamo al traguardo,siamo al traguardo
\voice\lap_counter\finished_race,11.wav,scacchi scacchi gara finita,scacchi scacchi gara finita
\voice\lap_counter\finished_race,12.wav,ecco la bandiera a scacchi,ecco la bandiera a scacchi
\voice\lap_counter\finished_race,13.wav,fine della gara,fine della gara
\voice\lap_counter\finished_race_good_finish,9.wav,gara finita bel risultato!,gara finita bel risultato!
\voice\lap_counter\finished_race_good_finish,10.wav,ottimo risultato bravo!,ottimo risultato bravo!
\voice\lap_counter\finished_race_good_finish,11.wav,grande gara complimenti!,grande gara complimenti!
\voice\lap_counter\finished_race_good_finish,12.wav,bel piazzamento ben fatto!,bel piazzamento ben fatto!
\voice\lap_counter\finished_race_good_finish,13.wav,buon risultato oggi!,buon risultato oggi!
\voice\lap_counter\finished_race_good_finish,14.wav,bella gara davvero!,bella gara davvero!
\voice\lap_counter\finished_race_good_finish,15.wav,ottima prestazione bravo!,ottima prestazione bravo!
\voice\lap_counter\finished_race_good_finish,16.wav,gara solida ben guidato!,gara solida ben guidato!
\voice\lap_counter\finished_race_good_finish,17.wav,bravissimo che risultato!,bravissimo che risultato!
\voice\lap_counter\finished_race_good_finish,18.wav,finita bene gran lavoro!,finita bene gran lavoro!
\voice\lap_counter\finished_race_last,5.wav,gara finita non e' andata bene,gara finita non e' andata bene
\voice\lap_counter\finished_race_last,6.wav,ultimo purtroppo giornata storta,ultimo purtroppo giornata storta
\voice\lap_counter\finished_race_last,7.wav,gara da dimenticare,gara da dimenticare
\voice\lap_counter\finished_race_last,8.wav,giornata nera purtroppo,giornata nera purtroppo
