audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\spotterDisabled_Billy,1.wav,"all right, no more spotter calls for you","all right, no more spotter calls for you"
\voice\acknowledge\spotterDisabled_Billy,2.wav,"okay, no more spotting","okay, no more spotting"
\voice\acknowledge\spotterDisabled_Billy,3.wav,"all right, I'm out","all right, I'm out"
\voice\acknowledge\spotterDisabled_Billy,4.wav,"all right, peace","all right, peace"
\voice\acknowledge\spotterDisabled_Billy,5.wav,"okay, good luck, have fun on your own","okay, good luck, have fun on your own"
\voice\acknowledge\spotterDisabled_Clare,1.wav,"okay, no more spotter calls, please, Clare","okay, no more spotter calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,2.wav,"acknowledged, no more spot calls, please, Clare","acknowledged, no more spot calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,3.wav,"okay, no more spotter calls, please, Clare","okay, no more spotter calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,4.wav,"okay, no more spot calls, Clare","okay, no more spot calls, Clare"
\voice\acknowledge\spotterDisabled_Florian,1.wav,"okay, no more spotter calls","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,10.wav,"okay, understood, I will shut up","okay, understood, I will shut up"
\voice\acknowledge\spotterDisabled_Florian,2.wav,"okay, no more spotter call","okay, no more spotter call"
\voice\acknowledge\spotterDisabled_Florian,3.wav,"okay, no more spotter calls","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,4.wav,"okay, no more spotter calls","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,5.wav,"okay, no more spotter calls","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,6.wav,"okay, no spotter call","okay, no spotter call"
\voice\acknowledge\spotterDisabled_Florian,7.wav,"okay, no spotter calls","okay, no spotter calls"
\voice\acknowledge\spotterDisabled_Florian,8.wav,"okay, okay, I will shut up","okay, okay, I will shut up"
\voice\acknowledge\spotterDisabled_Florian,9.wav,"okay, I will be quiet from here on","okay, I will be quiet from here on"
\voice\acknowledge\spotterDisabled_Geoffrey,1.wav,"okay, no more spotter calls","okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Geoffrey,10.wav,"okay, no more calls for you","okay, no more calls for you"
\voice\acknowledge\spotterDisabled_Geoffrey,11.wav,"all right, I'll stop","all right, I'll stop"
\voice\acknowledge\spotterDisabled_Geoffrey,12.wav,"okay, no more calls","okay, no more calls"
\voice\acknowledge\spotterDisabled_Geoffrey,13.wav,"well, fine then","well, fine then"
\voice\acknowledge\spotterDisabled_Geoffrey,14.wav,"what else do you want from me, jeez, I'll stop calling","what else do you want from me, jeez, I'll stop calling"
\voice\acknowledge\spotterDisabled_Geoffrey,2.wav,"all right, no more","all right, no more"
\voice\acknowledge\spotterDisabled_Geoffrey,3.wav,shuttin' up,shuttin' up
