audio_path,audio_filename,subtitle,text_for_tts
\voice\lap_counter\green_green_green,1.wav,via via via andiamo!,via via via andiamo!
\voice\lap_counter\green_green_green,2.wav,"semaforo verde, vai!","semaforo verde, vai!"
\voice\lap_counter\green_green_green,3.wav,"verde verde verde, via!","verde verde verde, via!"
\voice\lap_counter\green_green_green,4.wav,"luci spente, via!","luci spente, via!"
\voice\lap_counter\green_green_green,5.wav,"semaforo verde, andiamo!","semaforo verde, andiamo!"
\voice\lap_counter\green_green_green,6.wav,"via via vai, forza!","via via vai, forza!"
\voice\lap_counter\green_green_green,7.wav,"dai vai, semaforo verde!","dai vai, semaforo verde!"
\voice\lap_counter\green_green_green,8.wav,"verde, vai vai vai!","verde, vai vai vai!"
\voice\lap_counter\green_green_green,9.wav,"verde andiamo, forza!","verde andiamo, forza!"
\voice\lap_counter\green_green_green,10.wav,"dai gas, verde verde!","dai gas, verde verde!"
\voice\lap_counter\green_green_green,11.wav,"vai tutta, forza!","vai tutta, forza!"
\voice\lap_counter\green_green_green,12.wav,"verde, dai vai!","verde, dai vai!"
\voice\lap_counter\green_green_green,13.wav,"luci spente, dai!","luci spente, dai!"
\voice\lap_counter\green_green_green,14.wav,"verde verde, andiamo!","verde verde, andiamo!"
\voice\lap_counter\green_green_green,15.wav,"via via via, forza!","via via via, forza!"
\voice\lap_counter\green_green_green,16.wav,dai vai vai vai!,dai vai vai vai!
\voice\lap_counter\green_green_green,17.wav,"semaforo verde, via via!","semaforo verde, via via!"
\voice\lap_counter\green_green_green,18.wav,"verde, dai andiamo!","verde, dai andiamo!"
\voice\lap_counter\green_green_green,19.wav,"andiamo andiamo, via!","andiamo andiamo, via!"
\voice\lap_counter\green_green_green,20.wav,"dai gas, vai vai!","dai gas, vai vai!"
