audio_path,audio_filename,subtitle,text_for_tts
\voice\acknowledge\OK,1.wav,ok ricevuto,ok ricevuto
\voice\acknowledge\no,1.wav,"no, negativo","no, negativo"
\voice\acknowledge\no,2.wav,"no, negativo","no, negativo"
\voice\acknowledge\no,3.wav,"no, negativo","no, negativo"
\voice\acknowledge\no,4.wav,"no, negativo","no, negativo"
\voice\lap_counter\green_green_green,12.wav,"vai vai, forza!","vai vai, forza!"
\voice\lap_counter\green_green_green,13.wav,"vai vai, forza!","vai vai, forza!"
\voice\lap_counter\green_green_green,18.wav,"vai vai, forza!","vai vai, forza!"
\voice\lap_counter\green_green_green,19.wav,andiamo forza!,andiamo forza!
\voice\lap_counter\green_green_green,7.wav,"vai vai, forza!","vai vai, forza!"
\voice\mandatory_pit_stops\will_put_fuel_in,3.wav,faremo rifornimento,faremo rifornimento
\voice\multiclass\gt1,10.wav,giti uno,giti uno
\voice\multiclass\gt1,11.wav,giti uno,giti uno
\voice\multiclass\gt1,12.wav,giti uno,giti uno
\voice\multiclass\gt2,13.wav,giti due,giti due
\voice\multiclass\gt2,14.wav,giti due,giti due
\voice\multiclass\gt2,15.wav,giti due,giti due
\voice\multiclass\gt3,25.wav,giti tre,giti tre
\voice\multiclass\gt3,26.wav,giti tre,giti tre
\voice\multiclass\gt3,27.wav,giti tre,giti tre
\voice\multiclass\gt4,28.wav,giti quattro,giti quattro
\voice\multiclass\gt4,29.wav,giti quattro,giti quattro
\voice\multiclass\gt4,30.wav,giti quattro,giti quattro
\voice\multiclass\gt5,31.wav,giti cinque,giti cinque
\voice\multiclass\gt5,32.wav,giti cinque,giti cinque
\voice\multiclass\gt5,33.wav,giti cinque,giti cinque
\voice\multiclass\gtlm,22.wav,giti elle emme,giti elle emme
\voice\multiclass\gtlm,23.wav,giti elle emme,giti elle emme
\voice\multiclass\gtlm,24.wav,giti elle emme,giti elle emme
\voice\multiclass\gto,61.wav,giti o,giti o
\voice\multiclass\gto,62.wav,giti o,giti o
\voice\multiclass\gto,63.wav,giti o,giti o
\voice\multiclass\lmp1,1.wav,elle emme pi uno,elle emme pi uno
\voice\multiclass\lmp1,2.wav,elle emme pi uno,elle emme pi uno
\voice\multiclass\lmp1,3.wav,elle emme pi uno,elle emme pi uno
\voice\multiclass\lmp2,4.wav,elle emme pi due,elle emme pi due
\voice\multiclass\lmp2,5.wav,elle emme pi due,elle emme pi due
\voice\multiclass\lmp2,6.wav,elle emme pi due,elle emme pi due
\voice\multiclass\lmp3,7.wav,elle emme pi tre,elle emme pi tre
\voice\multiclass\lmp3,8.wav,elle emme pi tre,elle emme pi tre
\voice\multiclass\lmp3,9.wav,elle emme pi tre,elle emme pi tre
\voice\multiclass\tc1,64.wav,ti ci uno,ti ci uno
\voice\multiclass\tc1,65.wav,ti ci uno,ti ci uno
\voice\multiclass\tc1,66.wav,ti ci uno,ti ci uno
\voice\multiclass\tc2,67.wav,ti ci due,ti ci due
\voice\multiclass\tc2,68.wav,ti ci due,ti ci due
\voice\multiclass\tc2,69.wav,ti ci due,ti ci due
\voice\position\p10,10.wav,posizione dieci,posizione dieci
\voice\position\p11,1.wav,posizione undici,posizione undici
\voice\position\p11,11.wav,posizione undici,posizione undici
\voice\position\p12,12.wav,posizione dodici,posizione dodici
\voice\position\p12,2.wav,posizione dodici,posizione dodici
\voice\position\p13,1.wav,posizione tredici,posizione tredici
\voice\position\p13,13.wav,posizione tredici,posizione tredici
\voice\position\p14,14.wav,posizione quattordici,posizione quattordici
\voice\position\p14,3.wav,posizione quattordici,posizione quattordici
\voice\position\p15,15.wav,posizione quindici,posizione quindici
\voice\position\p15,2.wav,posizione quindici,posizione quindici
\voice\position\p16,16.wav,posizione sedici,posizione sedici
\voice\position\p16,2.wav,posizione sedici,posizione sedici
\voice\position\p17,1.wav,posizione diciassette,posizione diciassette
\voice\position\p17,17.wav,posizione diciassette,posizione diciassette
\voice\position\p18,18.wav,posizione diciotto,posizione diciotto
\voice\position\p18,2.wav,posizione diciotto,posizione diciotto
