audio_path,audio_filename,subtitle,text_for_tts
\voice\sweary_messages\bad_start,1.wav,"accidenti, che partenza orribile!","accidenti, che partenza orribile!"
\voice\sweary_messages\bad_start,2.wav,"ma che cavolo di partenza è stata?","ma che cavolo di partenza è stata?"
\voice\sweary_messages\bad_start,3.wav,"mannaggia, partenza da dimenticare","mannaggia, partenza da dimenticare"
\voice\sweary_messages\bad_start,4.wav,"porco giuda, che disastro alla partenza","porco giuda, che disastro alla partenza"
\voice\sweary_messages\bad_start,5.wav,"dai cavolo, dovevi fare meglio!","dai cavolo, dovevi fare meglio!"
\voice\sweary_messages\good_start,1.wav,"accidenti che partenza, grande!","accidenti che partenza, grande!"
\voice\sweary_messages\good_start,2.wav,"caspita, che razzo alla partenza!","caspita, che razzo alla partenza!"
\voice\sweary_messages\good_start,3.wav,"porca miseria, che partenza fantastica!","porca miseria, che partenza fantastica!"
\voice\sweary_messages\good_start,4.wav,"cavolo, li hai bruciati tutti!","cavolo, li hai bruciati tutti!"
\voice\sweary_messages\good_start,5.wav,"madonna che partenza, sei un fenomeno!","madonna che partenza, sei un fenomeno!"
\voice\sweary_messages\after_crash,1.wav,"che macello! ma dove andavi?","che macello! ma dove andavi?"
\voice\sweary_messages\after_crash,2.wav,"mannaggia la miseria, che botta!","mannaggia la miseria, che botta!"
\voice\sweary_messages\after_crash,3.wav,"porco giuda, che incidente!","porco giuda, che incidente!"
\voice\sweary_messages\after_crash,4.wav,"accidenti! vedi se la macchina va ancora","accidenti! vedi se la macchina va ancora"
\voice\sweary_messages\after_crash,5.wav,"cavolo, che botto! tutto a posto?","cavolo, che botto! tutto a posto?"
\voice\sweary_messages\after_crash,6.wav,"porca vacca, che disastro!","porca vacca, che disastro!"
\voice\sweary_messages\lost_position,1.wav,"accidenti, ti ha passato! reagisci!","accidenti, ti ha passato! reagisci!"
\voice\sweary_messages\lost_position,2.wav,"mannaggia, posizione persa! dai, riprendilo!","mannaggia, posizione persa! dai, riprendilo!"
\voice\sweary_messages\lost_position,3.wav,"ma dove va questo? ti ha fregato la posizione!","ma dove va questo? ti ha fregato la posizione!"
\voice\sweary_messages\lost_position,4.wav,"cavolo, ti sei fatto passare! sveglia!","cavolo, ti sei fatto passare! sveglia!"
\voice\sweary_messages\lost_position,5.wav,"porco giuda, ti ha superato! muoviti!","porco giuda, ti ha superato! muoviti!"
\voice\sweary_messages\gained_position,1.wav,"dai cavolo, lo hai fregato! grande!","dai cavolo, lo hai fregato! grande!"
\voice\sweary_messages\gained_position,2.wav,"porca miseria, che sorpasso! fantastico!","porca miseria, che sorpasso! fantastico!"
\voice\sweary_messages\gained_position,3.wav,"accidenti, che manovra! bravo!","accidenti, che manovra! bravo!"
\voice\sweary_messages\gained_position,4.wav,"caspita, che sorpasso da paura!","caspita, che sorpasso da paura!"
\voice\sweary_messages\race_win,1.wav,"porca miseria, abbiamo vinto! grande!","porca miseria, abbiamo vinto! grande!"
\voice\sweary_messages\race_win,2.wav,"mannaggia che emozione! vittoria! sei un mito!","mannaggia che emozione! vittoria! sei un mito!"
\voice\sweary_messages\race_win,3.wav,"cavolo, ce l'abbiamo fatta! che gara!","cavolo, ce l'abbiamo fatta! che gara!"
\voice\sweary_messages\race_win,4.wav,"porco giuda, che gara incredibile! primo!","porco giuda, che gara incredibile! primo!"
\voice\sweary_messages\race_win,5.wav,"accidenti, che vittoria pazzesca! sei un fenomeno!","accidenti, che vittoria pazzesca! sei un fenomeno!"
